PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Charlie Smyth,2572330,K,NO,NYJ,2,,,,3,1,1,,,,1,20.00
Ka'imi Fairbairn,2556521,K,HOU,LV,2,,,,,1,2,,,,2,16.00
Chad Ryland,2570125,K,ARI,ATL,1,,,1,1,,2,,,,3,16.00
Cairo Santos,2550636,K,CHI,GB,1,,,,,2,1,,,,4,14.00
Ryan Fitzgerald,2573979,K,CAR,TB,2,,,1,,2,,,,,5,13.00
Harrison Mevis,2572932,K,LAR,@SEA,4,,,2,,1,,,,,6,13.00
Harrison Butker,2558245,K,KC,@TEN,,,,1,,1,1,,,,7,12.00
Eddy Pineiro,2560842,K,SF,@IND,6,,,1,1,,,,,,8,12.00
Blake Grupe,2571234,K,IND,SF,3,,,,1,,1,,,,9,11.00
Cam Little,2572147,K,JAX,@DEN,4,,,1,,1,,,,,10,11.00
Will Reichard,2572273,K,MIN,@NYG,1,,,,2,1,,,,,11,11.00
Andy Borregales,2574365,K,NE,@BAL,2,,,,,2,,,,,12,10.00
Chris Boswell,2550545,K,PIT,@DET,3,,,1,,,1,,,1,13,10.00
Cameron Dicker,2568435,K,LAC,@DAL,4,,,1,1,,,,,,14,10.00
Chase McLaughlin,2563203,K,TB,@CAR,2,,,1,,,1,,,,15,10.00
Brandon McManus,2541556,K,GB,@CHI,1,,,3,,,,,,,16,10.00
Evan McPherson,2565953,K,CIN,@MIA,6,,,,,1,,,,,17,10.00
Wil Lutz,2556601,K,DEN,JAX,2,,,1,,,1,,,,18,9.00
Andre Szmyt,2570470,K,CLE,BUF,2,,,1,,1,,,,,19,9.00
Zane Gonzalez,2558178,K,ATL,@ARI,2,1,,,,2,,,,,20,7.00
Ben Sauls,2574499,K,NYG,MIN,1,,,1,1,,,,,,21,7.00
Jake Bates,2571759,K,DET,PIT,3,,,,1,,,,,,22,6.00
Nick Folk,2507225,K,NYJ,@NO,,,,1,1,,,,,,23,6.00
Tyler Loop,2573940,K,BAL,NE,3,,,,1,,,,,,24,6.00
Joey Slye,2563132,K,TEN,KC,3,,,1,,,,,,,25,6.00
Brandon Aubrey,2571750,K,DAL,LAC,2,,,,1,,,,,,26,5.00
Jake Moody,2570308,K,WAS,PHI,1,,,1,,,,,,,27,4.00
Riley Patterson,2567013,K,MIA,CIN,3,,,,,,,,,,28,3.60
Mike Badgley,2560965,K,FA,Bye,2,1,,,,1,,,,,29,3.00
Daniel Carlson,2560993,K,LV,@HOU,3,,,,,,,,,,30,3.00
Jake Elliott,2558172,K,PHI,@WAS,3,,,,,,,,,,31,2.00
Jason Myers,2553112,K,SEA,LAR,2,,,,,,,,,,32,2.00
Tyler Bass,2563596,K,BUF,@CLE,,,,,,,,,,,33,0.00
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,34,0.00
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,35,0.00
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,36,0.00
Graham Gano,71309,K,NYG,MIN,,,,,,,,,,,37,0.00
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,38,0.00
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,39,0.00
Lucas Havrisik,2569534,K,GB,@CHI,,,,,,,,,,,40,0.00
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,41,0.00
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,42,0.00
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,43,0.00
Joshua Karty,2572201,K,ARI,ATL,,,,,,,,,,,44,0.00
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,45,0.00
Younghoe Koo,2559205,K,FA,Bye,,,,,,,,,,,46,0.00
Lenny Krieg,2573911,K,ATL,@ARI,,,,,,,,,,,47,0.00
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,48,0.00
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,49,0.00
Matt Prater,2506677,K,BUF,@CLE,,,,,,,,,,,50,0.00
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,51,0.00
Jason Sanders,2561153,K,MIA,CIN,,,,,,,,,,,52,0.00
Spencer Shrader,2573175,K,IND,SF,,,,,,,,,,,53,0.00
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,54,0.00
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,55,0.00
Matthew Wright,2562968,K,BUF,@CLE,,,,,,,,,,,56,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,57,0.00
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,58,0.00
