PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Jason Myers,2553112,K,SEA,IND,,,,,2,2,2,,,,1,24.00
Ka'imi Fairbairn,2556521,K,HOU,ARI,4,,,1,2,,1,,,,2,18.00
Brandon Aubrey,2571750,K,DAL,MIN,2,,,1,1,2,,,,,3,16.60
Brandon McManus,2541556,K,GB,@DEN,2,,,1,2,,1,,,,4,16.00
Blake Grupe,2571234,K,IND,@SEA,1,,,,,1,2,,,,5,15.00
Will Reichard,2572273,K,MIN,@DAL,4,,,1,,,1,,,,6,15.00
Eddy Pineiro,2560842,K,SF,TEN,4,,,,2,1,,,,,7,14.00
Cameron Dicker,2568435,K,LAC,@KC,1,,,1,,2,,,,,8,12.00
Cam Little,2572147,K,JAX,NYJ,6,,,1,1,,,,,,9,12.00
Harrison Mevis,2572932,K,LAR,DET,5,,,,1,1,,,,,10,12.00
Nick Folk,2507225,K,NYJ,@JAX,2,,,,,1,1,,,,11,11.00
Chase McLaughlin,2563203,K,TB,ATL,2,,,,,1,1,,,,12,11.00
Jake Bates,2571759,K,DET,@LAR,4,,,1,,1,,,,,13,10.00
Jake Moody,2570308,K,WAS,@NYG,2,1,,,1,2,,,,,14,10.00
Charlie Smyth,2572330,K,NO,CAR,2,,,,,2,,,,,15,10.00
Harrison Butker,2558245,K,KC,LAC,1,,,1,,1,,,,,16,9.50
Andy Borregales,2574365,K,NE,BUF,4,,,,1,,,,,,17,7.00
Jake Elliott,2558172,K,PHI,LV,4,,,1,,,,,,,18,7.00
Cairo Santos,2550636,K,CHI,CLE,4,,,,,1,,,,1,19,7.00
Andre Szmyt,2570470,K,CLE,@CHI,,,,,,,1,,,,20,6.50
Ryan Fitzgerald,2573979,K,CAR,@NO,2,,,,,1,,,,,21,6.00
Zane Gonzalez,2558178,K,ATL,@TB,2,,,,,1,,,,,22,6.00
Tyler Loop,2573940,K,BAL,@CIN,3,,,1,,,,,,,23,6.00
Joey Slye,2563132,K,TEN,@SF,3,,,1,,,,,,,24,6.00
Riley Patterson,2567013,K,MIA,@PIT,,,,,,,1,,,,25,5.00
Matt Prater,2506677,K,BUF,@NE,5,,,,,,,,,,26,5.00
Chris Boswell,2550545,K,PIT,MIA,4,,,,,,,,,,27,4.00
Wil Lutz,2556601,K,DEN,GB,4,,,,,,,,,,28,4.00
Younghoe Koo,2559205,K,FA,Bye,3,,,,,,,,,,29,3.00
Chad Ryland,2570125,K,ARI,@HOU,2,,,,,,,,,,30,2.00
Mike Badgley,2560965,K,FA,Bye,,,,,,,,,,,31,0.00
Tyler Bass,2563596,K,BUF,@NE,,,,,,,,,,,32,0.00
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,33,0.00
Daniel Carlson,2560993,K,LV,@PHI,,,,,,,,,,,34,0.00
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,35,0.00
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,36,0.00
Graham Gano,71309,K,NYG,WAS,,,,,,,,,,,37,0.00
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,38,0.00
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,39,0.00
Lucas Havrisik,2569534,K,GB,@DEN,,,,,,,,,,,40,0.00
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,41,0.00
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,42,0.00
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,43,0.00
Joshua Karty,2572201,K,ARI,@HOU,,,,,,,,,,,44,0.00
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,45,0.00
Lenny Krieg,2573911,K,ATL,@TB,,,,,,,,,,,46,0.00
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,47,0.00
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,48,0.00
Evan McPherson,2565953,K,CIN,BAL,,,,,,,,,,,49,0.00
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,50,0.00
Jason Sanders,2561153,K,MIA,@PIT,,,,,,,,,,,51,0.00
Ben Sauls,2574499,K,NYG,WAS,,,,,,,,,,,52,0.00
Spencer Shrader,2573175,K,IND,@SEA,,,,,,,,,,,53,0.00
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,54,0.00
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,55,0.00
Matthew Wright,2562968,K,BUF,@NE,,,,,,,,,,,56,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,57,0.00
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,58,0.00
